StratumID,ClassLabelID,StateClassID,Description
10110_20_29,C,Late1:CLS,"Closed-canopy, relatively pure aspen stand (>10m) with large overstory trees. Fire frequency is highly variable depending upon site location and adjacent vegetation. A 60 - yr mean fire return interval ( MFRI ) was originally used for the model and results generally in overstory mortality. Reviewers recommended a 100 - yr MFRI, and that value was incorporated into the model. Aspen are always suckers. Suckering and recruitment might be impeded because of overstory a ux in transport, but are infrequently eliminated unless there are other root problems with the clone. Existing data suggest that aspen can persist in the understory of conifers as a shrub for relatively long periods of time (Dan Kashian , pers onal comm unication ). Browsing more than likely occurred on suckers in the pre-disturbance state and is likely to occur again post - disturbance. Further more , herbivory is ubiquitous across the range of this BpS ( Romme et al. 1995). Browsing is therefore consistently incorporated into the model. Without herbivory, this condition can persist indefinitely , with continued regeneration and overstory recruitment. The cumulative effect of sustained herbivory eventually result s in an open - canopy , mature stand due to canopy die-off and a lack of recruitment. Any reduction of canopy auxin transport because of mixed or replacement fire stimulate s the suckering response. Subalpine fir might be encroach ing into the understory, per reviewers of this model. Insect/disease outbreaks cause stand thinning . Succession maintains vegetation in this class .  H owever , without disturbance and under certain site conditions , a small percentage of this class may transition to m ixed - conifer forest ."
10110_20_29,D,Late1:OPN,"Aspen (>10m) widely spaced, open canopy existing until the overstory succumbs to mortality. This is a transitional state caused by insect infestation , disease, herbivory , or interactions among these factors. Continued moderate to high herbivory prevents the recruitment of overstory trees. Native herbivory was added to the model. MFRIs for fire are highly variable .  An MFRI of 60yrs was originally used for the model, but was changed to 100yrs per reviews. In the absence of fire , this state transitions to conifer, sagebrush , or grassland dominated. This was modeled as a main successional pathway. Reviewers state that in the southern portion of this MZ , this would transition to ABLA instead of PSME. PICO and ABLA would occur in the lower, mid , and upper canopies. Fire would create suckers in the holes , causing aspen to persist in this stage. Fire might also remove some of the conifers. Reviewers recommended adding insect/disease disturbance at 0.005 probability .  T his was input into the model with little impact. Thus far there are no data to support the impact of insect/disease."
10110_20_29,E,Late2:CLS,"Class E is a catch-all category that represents aspen replaced by other vegetation types or a mixed aspen-conifer overstory that is changing to a conifer - dominated forest. If aspen persist in the understory, parent root material remaining onsite allows aspen regeneration after fire. Replacement fire was originally modeled at every 60yrs but was changed to a 100 - yr frequency based on review. Reviewers stated that an occasional aspen tr ee is present in the overstory. If stand-replacing fire occurs, aspen sucker. ABLA would be present in high amounts in the upper canopy as well. Structure overlaps occur between Class C and Class E. However, the classes are distinguished by aspen versus mixed conifer."
10110_21,A,Early1:ALL,"Aspen suckers less than two meters tall. Understory species include a wide variety of shrubs, forbs and grasses. This structure is an established, persistent, shrub-type aspen clone that is maintained in this state either because of continual browsing or suboptimal site conditions. As such, it was the starting point in which to model asexual regeneration in the face of disturbance. A reviewer suggested that this class would be eliminated and returned to grass in three years under intense browsing; however, that scenario is not an accurate depiction of this class. This condition does not represent site establishment via sexual reproduction that would revert to grass three years after seedling establishment. Also, although aspen suppression by herbivores is important in the Greater Yellowstone Ecosystem (which would more likely be a current condition, not the reference condition scenario being described), there seems to be insufficient evidence that this process can extirpate a patch in three years. Aspen appears relatively persisting and although it certainly can be extirpated, it is believed that this occurs far less frequently."
10110_21,B,Mid1:ALL,"Aspen 2-10m tall dominate. Canopy cover usually closed , but might be more open at times , representing dense sapling stand. Fire frequency is highly variable because of site conditions and adjacent vegetation."
10110_21,C,Late1:CLS,"Closed-canopy, relatively pure aspen stand with large overstory trees. Fire frequency highly variable depending upon site location and adjacent vegetation. Aspen always suckers. Suckering and recruitment might be impeded because of overstory auxin transport, but is infrequently eliminated, unless there are other root problems with the clone. Existing data suggest that aspen can persist in the understory of conifers as a shrub for relatively long periods of time (Dan Kashian , personal communication). Any reduction of canopy auxin transport because of mixed or replacement fire will stimulate the suckering response."
10110_21,D,Late2:OPN,"Aspen widely spaced, open canopy existing until the over-story succumbs to mortality. This is a transitional state caused by insects, disease, herbivory or interactions among these factors. Mean FR Is for fire are highly variable. Outside reviewer commented that 25% in class D historically seemed too high, and that it should rather be approx 10-15%."
10110_21,E,Late3:CLS,"A catch -all category that represents aspen replaced by other vegetation types or a mixed aspen-conifer overstory that is changing to a conifer dominated forest. If aspen persists in the understory, parent root material remaining on site allows aspen regeneration after fire."
10110_22,A,Early1:ALL,Aspen suckers and saplings. Grass and forbs present.
10110_22,B,Mid1:CLS,"Aspen over five meters tall dominate. Dense, pole-size tree in this class."
10110_22,C,Late1:CLS,Aspen over 15m tall. More shrubs and forbs.
10110_27,A,Early1:ALL,"Aspen suckers less than six feet tall , often less than one inch DBH, and abundant. Grass and forbs resprout vigorously with high cover. Often densely vegetated."
10110_27,B,Mid1:CLS,"Aspen over six feet tall dominate. Canopy cover highly variable, but usually dense. Understory also usually dense."
10110_27,C,Late1:ALL,"Aspen trees nine inches plus DBH. Canopy cover is highly variable, but usually dense. Understory dense. Lots of dead and downed material. Although this model shows a plurality of older aged stands, the stands are often uneven  aged. On the ground, the multi-aged nature of these stands should be noted."
10110_28,A,Early1:ALL,Aspen suckers less than six feet tall and abundant. Aspen will not necessarily be tree form; will often be less than one inch DBH . Grass and forbs resprout vigorously with high cover. Often densely vegetated.
10110_28,B,Mid1:CLS,"Aspen over six feet tall dominate. Canopy cover highly variable, but usually dense. Understory also usually dense."
10110_28,C,Late1:CLS,"Aspen trees nine inches plus DBH. Canopy cover is highly variable, but usually dense. Understory dense. Lots of dead and downed material."
10110_6_10_12_17_18_19,A,Early1:CLS,Aspen suckers. Grass and forbs present.
10110_6_10_12_17_18_19,B,Mid1:CLS,Aspen trees dominate. Canopy cover is highly variable. Mixed - severity fire consumes litter and woody debris and may stimulate suckering.
10110_6_10_12_17_18_19,C,Late1:CLS,"Aspen trees 5-16in in DBH. Canopy cover is highly variable. Mixed - severity fire ,  while thinning some trees, promotes suckering."
10110_6_10_12_17_18_19,D,Late1:OPN,"Aspen 5- 16 in + in DBH and conifers co-dominate, with conifers present in the mid  story and overtopping aspen in older stands. Aspen comprises 80% of the overstory in younger stands, whereas conifer can reach up to 40% cover in overstory in older stands. Mixed - severity fir e and insect/disease outbreaks thin conifers."
10110_7,A,Early1:ALL,Aspen suckers and saplings. Grass and forbs present. Mixed - severity fire does not change vegetation dynamics.
10110_7,B,Mid1:CLS,"Aspen >6ft dominate. Canopy cover highly variable. Mixed - severity fire does not change the successional age of these stands, although this fire consumes litter and woody debris and may stimulate suckering."
10110_7,C,Mid2:CLS,"True , stable aspen 5-16in DBH. No evergreens are present. Canopy cover is highly variable. The mean fire return interval of mixed - severity fire does not change with age. Insect s /diseases affect older trees."
10110_7,D,Late1:ALL,"Aspen 5-16in dominate with conifer understory up to co-dominance: 80% aspen overstory . Conifers (e.g., Douglas-fir) are assumed more resistant to fire than aspen and likely cause the progressive suppression of aspen. Mixed - severity fire keeps this stand open, kills young conifers, and maintains aspen."
10110_7,E,Late1:CLS,"L arge-diameter Conifers dominate. Aspen > 16in, mixed  conifer s/ mixed sizes, main overstory is conifers. More than 50% conifer in the overstory .  Succession maintains conifer dominance."
10110_9,A,Early1:ALL,Aspen suckers and saplings. Grass and forbs present.
10110_9,B,Mid1:CLS,Aspen >6ft tall dominate. Canopy cover highly variable. Mixed - severity fire consumes litter and woody debris and may stimulate suckering.
10110_9,C,Mid2:CLS,"True stable aspen trees 5-16in DBH. Solid aspen stands, no evergreens.  Canopy cover is highly variable. The fire return interval of mixed - severity fire does not change with age."
10110_9,D,Late1:ALL,"Aspen 5-16"" dominate with conifer understory up to co-dominance: 80% aspen overstory . Conifers (e .g., Douglas-fir) are assumed more resistant to fire than aspen and will likely cause the progressive suppression of aspen."
10110_9,E,Late1:CLS,"L arge-diameter c onifers dominate. Aspen > 16in, mixed conifer , mixed sizes, main overstory is conifers , > 50% conifer in the overstory ."
10120_16_27,A,Early1:ALL,"Post-replacement stage dominated by a mix of various herbs and grasses and low maple sprouts. Since bigtooth maple sprouts rapidly, the early seral stage w ill last <8yrs."
10120_16_27,B,Mid1:CLS,"Mid-seral, closed stands of maple (sometimes associated with Gambel oak or other shrubs). Sprout sizes generally are about 1-3m high, with high canopy cover. Stem diameters are generally <3in. Understory herb and grass cover can range from very low (when shrub and litter cover is high) to fairly hig h ."
10120_16_27,C,Late1:CLS,"Late seral, generally closed stands of maple. Stand stem ages are generally >30yrs and >3in diameter in size. Stand heights are generally >3m. Overstory canopy cover is generally 30-80%; understory cover is similar to mid-seral."
10120_17_18_21,A,Early1:ALL,"Post-replacement stage dominated by a mix of various herbs and grasses and low maple sprouts. Since bigtooth maple sprouts rapidly, the early seral stage will last <8yrs . This vegeta tion is not likely to carry fire . Large floods are stand-replacing events."
10120_17_18_21,B,Mid1:CLS,"Mid-seral, closed stands of maple (sometimes associated with Gambel oak or other shrubs). Sprout sizes generally are ~ 1-3m high, with high canopy cover. Stem diameters are generally <3in . Understory herb and grass cover can range from very low (when shrub and litter cover is high) to fairly high. Replacement fire and flooding are stand - replacing event s, whereas mixed - severity fire maintains vegetation structure."
10120_17_18_21,C,Late1:CLS,"Late seral, gene rally closed stands of maple. S tem s are generally >3in in diameter , and s tand heights are generally >3m . Overstory canopy cover is generally 30-80%; understory cover is similar to mid-seral. Scattered conifers can occur at this stage."
10130_31_38_39_40,A,Early1:ALL,"New stands develop primarily when acorns are buried by rodents (fox squirrels) in short grassland near existing trees. During this stage, trees are the tallest plants, but grasses remain dominant and not yet suppressed or altered in species composition by effects from seedling/  sapling trees. Short-statured grasslands are required to allow access by squirrels and probably to reduce fire frequency/severity during the more vulnerable seedling and sapling stages. This process probably is independent of eventual tree size and density. Class A can also result from stand - replacing fire or severe weather events."
10130_31_38_39_40,B,Late1:ALL,"This is a relatively stable state, independent of eventual tree size and density. Th ese young stands can be thinne d by fire, drought, or storms ."
10130_31_38_39_40,C,Late1:OPN,"This is a thinned, older stand. Creation of these lower - density stands is due to unusual conditions of drought, storm, or fire severity. Lower density may persist for decades or longer when more stable conditions return. Stand differs from local starting C lass B condition in having fewer younger trees  and so a higher proportion of older, larger trees. This is due to thinning from C lass B. Older, larger trees can become decadent, suffer damage from drought, storms, etc. , and accumulate. Itâ€™s this stage that results. Due to mixed - severity fires from C lass B, stands in C lass C will be uneven aged but predomina nt ly older, larger trees, because individuals are long-lived and only rare reproduction is required to maintain density. Also, bur oak resprouts vigorously from the root crown when topkilled by fire, storm, and sometimes by drought. Thus, the same individuals persist, although aerial portions may be of varying ages because of resprouting. This allows for a renewed bout of reproduction. Without fire, this class can revert to C lass D."
10130_31_38_39_40,D,Late1:CLS,"This is a closed stand in the most favorable sites. Movement to higher - density stands from the starting C lass B condition, due to favorable moisture cycles and reduced fire frequency/severity. Stand would have higher density than corresponding local C lass B, with higher proportion of younger and smaller trees. A combination of fire and drought can prevent continued excess reproduction, restabilizing stand and returning it to C lass B or C."
10140_4_5,A,Early1:ALL,"Less than 10in DBH. Openings within forest with dense cover of hardwood sprouts ( Quercus agrifolia , Quercus chrysolepis , Quercus kelloggii , Acer macrophyllum , and Arbutus menziesii ). Sprouting shrubs such as arctostaphylus sp p. and ceanothus sp p . may be significant. Shrub growth from seed banks, e.g. , deer brush ( Ceanothus integerrimus ), can also be high. There is evidence that suggests that the reference percent of this class could be closer to 25% (Skinner 1995). Douglas-fir and Coulter pine seedlings will be present."
10140_4_5,B,Mid1:CLS,"DBH range=10-20in. Dense hardwood cover (60-100%) , sometimes with emergent conifers. Characteristic species include Quercus agrifolia , Quercus chrysolepis , Quercus kelloggii , Acer macrophyllum , and Arbutus menziesii ."
10140_4_5,C,Late1:CLS,Tree DBH generally >30in for larger spec ies. Hardwood - dominated class with some emergent conifers.
10150_2_3_4,A,Early1:ALL,"Early succession following creation of localized canopy gaps from fire or treefall. There is regeneration of coast redwood and other conifers, including various combinations of Douglas-fir, western hemlock, and Sitka spruce. Hardwoods include tanoak, bigleaf maple and hazelnut. Also occurring are huckleberry, salal , and swordfern shrubs. Trees are seedlings or recent sprouts."
10150_2_3_4,B,Mid1:CLS,"Small trees up to 3 in in diameter include coast redwood, and other conifers including various combinations of Douglas-fir and hardwoods ( including tanoak, bigleaf maple, and hazelnut ) inland, and Sitka spruce and western hemlock on the coast. Shrubs in both include huckleberry, salal , and swordfern ."
10150_2_3_4,C,Late1:CLS,"Dense forest dominated by coast redwood.  Douglas-fir co - dominates in interior locations.  Hardwoods including tanoak, bigleaf maple, and hazelnut inland ; and spruce and hemlock on the coast. Shrubs include huckleberry, salal , and swordfern throughout. In the fog zone, salmonberry occasionally stays as the dominant understory , especially on river terraces.  In the inland sub-type, the canopy can be relatively open. A significant distinction between the dry and wet types is the frequency of surface fires. In the fog zone, surface fires may only occur every 100yrs on average, but inland they can occur every 20yrs or more frequently."
10160_13_14,A,Early1:OPN,"Initial post-fire community dominated by annual grasses and forbs. Later stages of this class contain greater amounts of perennial grasses, forbs , and shrubs. Shrubs are between 0-10% cover and from 0-0.5m in height. Evidence of past fires (burnt stumps and charcoal) should be observed."
10160_13_14,B,Mid1:OPN,"Dominated by shrubs, perennial forbs and grasses. Tree seedlings starting to establish on favorable microsites. Total cover remains low due to shallow unproductive soil . It is important to note that replacement fire at this stage does not eliminate perennial grasses. Mixed - severity fire thins the woody vegetation."
10160_13_14,C,Mid2:OPN,"Shrub - and tree-dominated community with young juniper and pinyon seedlings becoming established. It is important to note that replacement fire at this stage does not eliminate perennial grasses. Mortality from insects, pathogens, and drought affects older trees."
10160_13_14,D,Late1:OPN,"Community dominated by young (<300yrs) to old (> 300yrs ) junipers and pines of mixed age structure. Juniper and pinyon becoming competitive on site and affect ing understory composition between 100-300yrs. After 300yrs, old, non-conical trees dominate the stand. Tree pathogens and insects such as pinyon Ips become more important for woodland dynamics , including both patch mortality and thinning of isolated individual trees."
10160_15_28,A,Early1:ALL,Grass/forb/shrub/seedling - - usually post-fire.
10160_15_28,B,Mid1:CLS,"Mid-development, dense pinyon-juniper woodland; understory being lost."
10160_15_28,C,Mid1:OPN,"Mid-development, open pinyon-juniper stand with mixed shrub/herbaceous  community in understory."
10160_15_28,D,Late1:OPN,"Late-development, open juniper-pinyon stand with â€œsavanna-likeâ€ appearance; mixed grass/shrub/herbaceous community."
10160_15_28,E,Late1:CLS,"Dense, old-growth stands with multiple layers. Late-development, closed pinyon-juniper forest. May have all-aged, multi-storied structure. Moderate mortality within stand. Occasional shrubs with few grasses and forbs and often much rock."
10160_16_23_24_25,A,Early1:ALL,Grass/forb/shrub/seedling  --  usually post-fire.
10160_16_23_24_25,B,Mid1:CLS,"Mid-development, dense pinyon-juniper woodland; understory is sparse."
10160_16_23_24_25,C,Mid1:OPN,"Mid-development, open pinyon-juniper stand with mixed shrub/herbaceous  community in understory. Mixed - severity fire and insects/disease maintain stand structure."
10160_16_23_24_25,D,Late1:OPN,"Late-development, open juniper-pinyon stand with â€œsavanna-likeâ€ appearance; mixed grass/shrub/herbaceous community."
10160_16_23_24_25,E,Late1:CLS,"Dense, old-growth stands with multiple layers . Late-development, closed pinyon-juniper forest. May have all-aged, multi-storied structure. Moderate mortality within stand. Occasional shrubs with few grasses and forbs and often rock or bare soil."
10160_17,A,Early1:ALL,Grass/forb/shrub/seedling - - usually post-fire.
10160_17,B,Mid1:CLS,"Mid-development, dense pinyon-juniper woodland; understory is sparse."
10160_17,C,Mid1:OPN,Mid development-open pinyon-juniper stand with mixed shrub/herbaceous community in understory.
10160_17,D,Late1:OPN,Late development-open juniper-pinyon stand with â€œsavanna-likeâ€ appearance; mixed grass/shrub/herbaceous community.
10160_17,E,Late1:CLS,"Dense, old-growth stands with multiple layers. Late development-closed pinyon-juniper forest. May have all-aged, multi-storied structure. Moderate mortality within stand. Occasional shrubs with few grasses and forbs and often rock or bare soil."
10160_22,A,Early1:OPN,Grass/forb/shru b/seedling - - usually post-fire. Juniper seedlings may have 10% cover and be up to 1m in height.
10160_22,B,Mid1:OPN,"Mid-development, open juniper stand with mixed shrub/herbaceous community in understory."
10160_22,C,Late1:OPN,"Late-development, open juniper-pinyon stand with â€œsavanna-likeâ€ appearance; mixed grass/  shrub/herbaceous community."
10170_6_7_8_9_12_18,A,Early1:OPN,"Initial post-fire community dominated by forbs and grasses . Scattered individual juniper seedlings may be present within shrub canopies . Combined shrub/tree cover is 5-10%. Later stages of this class contain greater amounts of perennial grasses and forbs. Evidence of past fires , such as charred wood and charcoal , may be present . On rocky sites, the pathway is toward woodland. On sandy , claypan , or sedimentary sites, the pathway is toward savanna. F uel arrangement is patchy . The probability of detecting this class to support model initiation or to map current conditions is essentially zero. It exists more theoretically than in reality in the historical locations."
10170_6_7_8_9_12_18,B,Mid1:OPN,"Woodland. This class is the historical equivalent of late Phase I through Phase II juniper. The vegetation is a mix of young juniper trees, shrubs, and perennial forbs and grasses . Shrubs may include rabbitbrush, mountain big sagebrush, antelope bitterbrush , or some combination of these , with low cover (generally < 10%) .  Total cover remains low due to limited soil and abundant rock . Surface fire, if possible, has little discernable impact except at edges where fire from adjacent BpS burns into this BpS . The probability of detecting this class to support model initiation or to map current conditions is essentially zero for historical sites."
10170_6_7_8_9_12_18,C,Late1:OPN,"Open w oodland. This class is the historical equivalent of Phase III juniper. Community dominated by young to mature juniper of mixed size and age. Juniper dominates site resources ,  reducing understory composition."
10170_6_7_8_9_12_18,D,Late1:CLS,"Closed Woodland. Site dominated by old juniper with some intermingled younger trees and snags . Grasses present on microsites sites with deeper soils ( > 20in). Scattered shrubs may or may not be present, depending on the type of site. Most fires do not spread beyond the lightning-struck tree , such that fires consist of single-tree or small - group torching. Occasionally , enough trees burn to transition back to the late-open class . Surface fire will scar ancient trees , primarily on the edges of stands where a rocky site merges into a non-rocky site ; otherwise ,  they have little to no discernable impact . Stand dynamics are very similar to classical theories concerning uneven-aged forest. Trees may live more than 600yrs."
10170_6_7_8_9_12_18,E,Late2:OPN,"Savanna. This class represents mid - and late - development juniper savanna. Herbaceous plants dominate , with scattered shrubs and trees. Trees (JUOC) overtop shrubs and herbaceous vegetation. Herbaceous cover is 5-10%. Shrub cover is 2-15%. Mid-development sites are characterized by woody plants, especially trees that are very widely spaced. Visually, shrubs and grasses appear to be co-dominant , with trees subdominant ; but , below - ground trees are starting to dominate site resources. Low productivity means root systems are very extensive and extend well beyond the drip  lines of all lifeforms , except tap-rooted forbs. V ery wide tree spacing prevents running crown fires ,  wh ereas surface fires and mixed - severity fires appear to have little effect . Mixed - severity fire, principally single-tree torching, may finger into shrubs and grasses. Late-development sites are dominated by widely spaced old juniper with an occasional younger tree. Grasses and scattered shrubs present but patchy with bare ground common. Site supports primarily surface fire, which are uncommon due to patchy fuels. All fires are relatively rare , with surface fires fingering beyond initial lightning-struck tree s . Single-tree torching may occur, but not enough to transition to another class. Fires may scar ancient trees. Stand dynamics are similar to classical theories of uneven-age forests. Trees may live > 600yrs. Juniper savanna may well have functioned much like the hypothetical model of a classic uneven-age stand. Nearly all disturbances would likely have been at the scale of a single tree or small group such that stand structure may have changed very little for hundreds of years. Distinguishing a mid-seral condition from a late - seral condition may not have been possible."
10180_1_7,A,Early1:ALL,"Post-fire vegetation is shrub - dominated with some seedling and sapling trees present. Establishment of western or paper birch, quaking aspen, or black cottonwood is favored by fires that remove the duff layer (Williams et al. 1995). Typical structure for this class could include: herbs 0-1m tall, 0-60% cover; shrubs 0 .5-3m tall, 0-80% cover; trees 0-5m tall, 0-60% cover ; and trees 5-10m tall, 0-80% cover."
10180_1_7,B,Mid1:CLS,"Pole and medium - sized trees of mixed - conifer species have overtopped the shrubs and dominate th e site. Canopy cover is dense (often up to 100% cover ). Western red cedar and western hemlock may be present in the understory. Douglas-fir, western larch, grand fir, and western white pine will be present in the overstory - - although western white pine is not as abundant in map zone (MZ) 0 1 as it was, historically, east of this zone. Engelmann spruce may be important seral species on cooler sites (Williams et al. 1995). Typical structure for this class c ould include: trees 10-30m tall ."
10180_1_7,C,Mid1:OPN,"Open canopy conditions may be a result of topo-edaphic conditions or disturbances. Mixed - severity fires result in open, patchy stand conditions and favor ponderosa pine, western larch , and white pine. Seedling/sapling western red cedar and western hemlock will be present in the understo ry. Typical structure for this class could include: trees 10- 30m tall ."
10180_1_7,D,Late1:OPN,"Open canopy conditions are rare and may be a result of topo-edaphic conditions or dist urbances. Mixed - severity fires result in open, patchy stand conditions. Western red cedar and western hemlock will be co - dominant with western white pine, western larch, and grand fir.  Seedling/  sapling western red cedar and grand fir will be present in the understory. Historically, these stands would have had high proportions of white pine and western larch. Typical structure for this class could include: trees 30-75 m tall . Local estimates based on height- diameter regressions built from USFS Region 6 inventory data (CVS plots) suggest that the maximum height for this BpS is over 75m. Heights > 60m likely indicate a Cedar-Hemlock Mixed-Conifer, the wettest end of this BpS."
10180_1_7,E,Late1:CLS,"Late-development closed conditions are multi-storied, dense canopies. Understories will tend to be depauperate due to dense overstory. Large woody debris is abundant , caused by in-stand competition. Fuel loadings range from 18-40tons/ac (Kapler-Smith and Fischer 1995). Root rot will affect Douglas-fir and grand fi r in patches. Typical structure for this class c ould include: trees 30-75m tall . Local estimates based on height- diameter regressions built from USFS Region 6 inventory data (CVS plots) suggest that the maximum height for this BpS is ~ 5m. Heights > 60m likely indicate a Cedar-Hemlock Mixed-Conifer, the wettest end of this BpS."
10190_13_14,A,Early1:OPN,Initial post-fire community dominated by annual grasses and forbs. Later stages of this class contain greater amounts of perennial grasses and forbs. Evidence of past fires (burnt stumps and charcoal) should be observed.
10190_13_14,B,Mid1:OPN,"Dominated by shrubs, perennial forbs and grasses. Tree seedlings starting to establish on favorable microsites. Total cover remains low due to shallow unproductive soil. It is important to note that replacement fire at this stage does not eliminate perennia l grasses. Mixed - severity fire thins the woody vegetation."
10190_13_14,C,Mid2:OPN,"Shrub - and tree-dominated community with young juniper and pinyon seedlings becoming established. Dominant lifeform is shrub (canopy cover 10-40%, height 0.5-3m). It is important to note that replacement fire at this stage does not eliminate perennial grasses. Mortality from insects, pathogens , and drought affects older trees."
10190_13_14,D,Late1:OPN,"Community dominated by young (<300yrs) to old (>300yrs) junipers and pines of mixed age structure. Juniper and pinyon becoming competitive on site and beginning to affect understory composition. Tree pathogens and insects such as pinyon Ips become more important for woodland dynamics, including both patch mortality and thinnin g of isolated individual trees ."
10190_15,A,Early1:OPN,Initial post-fire community dominated by annual grasses and forbs. Later stages of this class contain greater amounts of perennial grasses and forbs. Evidence of past fires (burnt stumps and charcoal) should be observed.
10190_15,B,Mid1:OPN,"Dominated by shrubs, perennial forbs and grasses. Tree seedlings starting to establish on favorable microsites. Total cover remains low due to shallow unproductive soil. It is important to note that replacement fire at this stage does not eliminate perennia l grasses. Mixed severity fire thins the woody vegetation."
10190_15,C,Mid2:OPN,"Shrub and tree dominated community with young juniper and pinyon seedlings becoming established. It is important to note that replacement fire at this stage does not eliminate perennial grasses. Mortality from insect s, pathogens, and drought ."
10190_15,D,Late1:OPN,"Community dominated by young to old juniper and pine of mixed age structure. Juniper and pinyon becoming competitive on site and beginning to affect understory composition. Mixed severity is less frequent than in previous states . Surface fire is infrequent and does not change successional dynamics. Tree pathogens and insects such as pinyon Ips become more important for woodland dynamics, including both patch mortality and thinnin g of isolated individual trees ."
